strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
optimized,100,1,200,30000,False,50,5e+17,3.775e+17,5.0,10000.0,optimized_a7651efd-8f0f-4171-9e4e-b94ce6fdefd0.json,a7651efd-8f0f-4171-9e4e-b94ce6fdefd0
optimized,100,1,200,30000,False,1,,,,,optimized_5c3b72d4-5e99-41e7-b76c-be10f2c806c3.json,5c3b72d4-5e99-41e7-b76c-be10f2c806c3
optimized,100,1,200,30000,False,1,,,,,optimized_b04977d8-9d79-4063-9e8f-fed45cee8c99.json,b04977d8-9d79-4063-9e8f-fed45cee8c99
greedy,100,1,100,30000,False,1,,,,,greedy_d4303461-f9c0-4ab2-947e-64a876b4b1a6.json,d4303461-f9c0-4ab2-947e-64a876b4b1a6
uniform,20,5,0,150000,False,96,5e+17,5e+17,5.0,100000.0,uniform_4bb09884-0074-484d-8e44-3a755adc1800.json,4bb09884-0074-484d-8e44-3a755adc1800
optimized,100,1,0,30000,False,13,1.325e+17,3.775e+17,5.0,100000.0,optimized_95be0997-939d-4670-ba6a-586656faa6e9.json,95be0997-939d-4670-ba6a-586656faa6e9
uniform,20,5,80,150000,False,4,1e+16,3.775e+17,1000.0,1000.0,uniform_5ccc4e71-4001-4529-ad7c-c25306552715.json,5ccc4e71-4001-4529-ad7c-c25306552715
optimized,100,1,200,30000,False,1,,,,,optimized_b80431b2-099f-4d16-b3fc-1bff0adcc4ff.json,b80431b2-099f-4d16-b3fc-1bff0adcc4ff
uniform,20,5,80,150000,False,4,1e+16,3.775e+17,1000.0,1000.0,uniform_150548f6-5566-4148-89cd-5f2f5db62a32.json,150548f6-5566-4148-89cd-5f2f5db62a32
uniform,20,5,0,150000,False,77,2.55e+17,1e+16,177.0,1000.0,uniform_a5d13ab0-23dc-48e7-a0f8-e83a1f765666.json,a5d13ab0-23dc-48e7-a0f8-e83a1f765666
greedy,100,1,100,30000,False,1,1e+16,1e+16,1000.0,100000.0,greedy_d6db48c8-35c1-4ad0-a583-75dcf96748f8.json,d6db48c8-35c1-4ad0-a583-75dcf96748f8
optimized,100,1,200,30000,False,1,,,,,optimized_20061ca7-3c9b-43c8-a6c9-978735ddc6cf.json,20061ca7-3c9b-43c8-a6c9-978735ddc6cf
optimized,100,1,200,30000,False,37,3.775e+17,5e+17,1.0,100000.0,optimized_369ddb58-2335-4f54-98fb-34ca723efb9e.json,369ddb58-2335-4f54-98fb-34ca723efb9e
uniform,20,5,80,150000,False,4,,,,,uniform_55f5e301-0c1b-4050-aaaa-7b0236aef6a8.json,55f5e301-0c1b-4050-aaaa-7b0236aef6a8
optimized,100,1,200,30000,False,1,,,,,optimized_b4fa0e58-8ca5-4f61-828c-b0c7a9d7cfd5.json,b4fa0e58-8ca5-4f61-828c-b0c7a9d7cfd5
uniform,20,5,80,150000,False,4,1e+16,5e+17,5.0,10000000.0,uniform_4e25f3e1-9e52-4b60-94e2-7edf3c2f9099.json,4e25f3e1-9e52-4b60-94e2-7edf3c2f9099
optimized,100,1,200,30000,False,1,,,,,optimized_7b5b90a8-125d-43ab-bf38-2525c2b7eca3.json,7b5b90a8-125d-43ab-bf38-2525c2b7eca3
uniform,20,5,80,150000,False,4,1e+16,5e+17,1000.0,1000.0,uniform_8ac90fde-5c19-40c2-a714-e9764fcb95c5.json,8ac90fde-5c19-40c2-a714-e9764fcb95c5
uniform,20,5,80,150000,False,90,3.775e+17,1e+16,5.0,1000000.0,uniform_1dec9f12-9314-4b89-bca3-2f9058ddfcf4.json,1dec9f12-9314-4b89-bca3-2f9058ddfcf4
uniform,20,5,80,150000,False,4,,,,,uniform_88e70418-330b-4dbd-8e29-a8d6be6b2626.json,88e70418-330b-4dbd-8e29-a8d6be6b2626
greedy,100,1,100,30000,False,25,2.55e+17,1e+16,177.0,1000.0,greedy_e00a7c00-257b-4421-bbc4-c75473e88b50.json,e00a7c00-257b-4421-bbc4-c75473e88b50
optimized,100,1,200,30000,False,37,3.775e+17,1e+16,5.0,10000.0,optimized_b914822f-0401-48bd-9518-21b48fd82d69.json,b914822f-0401-48bd-9518-21b48fd82d69
greedy,100,1,100,30000,False,1,,,,,greedy_7c58f209-c52e-4074-aec9-119fd5a5119a.json,7c58f209-c52e-4074-aec9-119fd5a5119a
uniform,20,5,80,150000,False,50,1.325e+17,2.55e+17,1000.0,1000000.0,uniform_63d4c902-19a5-48e1-94ef-99a0d4cae6de.json,63d4c902-19a5-48e1-94ef-99a0d4cae6de
optimized,100,1,200,30000,False,1,1e+16,1.325e+17,1000.0,10000000.0,optimized_f96a61e6-82f7-46f0-adec-c01d53dcec66.json,f96a61e6-82f7-46f0-adec-c01d53dcec66
